user,item,rating
ORG20E9BJ9J32QB9FNRTDYTVLFR7Q,Mobile,0
ORG4FKMK3F2DQCC0G4RSGD3FMF1JQ,Mobile,4
ORGKXBG1EZWKQQZWGXPDTMNZ10Q52,Computercable,1
ORGL14333Y06SDYZF7WD1RQVW7TKE,MobileSpeaker,4
ORGMLWDG0LRCVCMWG82TVCH56TT9P,MobileScreenGuard,3
ORGNQNWEN93DZ88WZP511HJZ4ZN2M,Tablet,2
ORGZL1Y3J2Y9PD3Z4MTV5W6KTWSVB,MobileCable,3
ORG0WHF5TQG52QEVZKGWZQ3JJVZVJ,Smartphone,0
ORGETYHDHH9TX8HBFK2N5W6TG7THF,Smartphone,4
ORGG22KCBC52ND95ZKJWFJG4S58NH,Smartphone,5
ORGG2SV3XSF42CV7F2HRDMQ1CN2SY,Smartphone,0
ORGMZ94K9M13CQRJ4P834PDNNKKXX,CameraBattery,1
ORGZSHC1QCXZPCXRGJTB69LW5QDRN,ComputerPowerSupplyUnit,3
ORG0SP26K1XYSQ4FZ7MLGXXVERD01,SmartWatch,3
ORG7QJMCJVS0BQQ6GXPWJ5QLZP8WD,MobileCable,4
ORGN62JPRK682QEHZ3N5WL8ZX67XE,MobileCaseCover,1
ORG2T0B72VS8ZQQFFP3ZJ5KZ9HNRD,Trimmer,2
ORG776L1587J08BLG1VQ6XNFG3X1F,MobileSpeaker,3
ORG7MTY9L2B5TDRN4Q51TN89YRLG8,ProtectiveMask,1
ORGB3JC5K963CQPS43779YG7L9DSR,Smartphone,4
ORGEH2QM90DYB8RLG4HTHKJ74F90Y,MobileCaseCover,4
ORGFBSMKWM0K5DFY49YNWCVDX28T8,Headphone,1
ORGFCNP7MNGZNQ2BF2GTCNMP5FZK4,Mobile,1
ORGFTV8MQJYJ2CME4B310H30Y9V9Y,MobileBattery,1
ORG1MYTQ58V0NCJSFPQ5KQQ4VJ266,Headphone,2
ORG25C79KWQMV81EZYPM6VHZFXKT8,Headphone,2
ORG4SPD4GGKBM88CGD5QJB12VEEZ2,MobileEnhancement,3
ORG7DY8M61L0SQZPG0NJQS76JPDVZ,MobileStandAndHolder,0
ORGGY9Z54569SDZQZWE1ZVR4SFTJS,Printers,5
ORGKMTRX9ZLWPCK2FHXVZ68HN55JK,Mobilereparingtool,1
ORGKRYGP4C29JQH0FK64L8M10VBVG,Musicreceiver,3
ORGMEVD4W8Y25CMTGWN34PWYWNDKV,Powerbank,4
ORGN78LDHRSQBCHCFB6CM6Y3PFMTR,MobileStandAndHolder,4
ORGNP12BV6SQMQ1TFC97M3PWXWHNL,USBGadget,2
ORGX2VYZ822GSDZGZKZ5S5DV36P8B,Solderingironkit,0
ORGZ16XGBZ37NQEE4TKR5Y7KJWGL5,Headphone,4
ORGZ4G69JC6ECQ21FT92HMEF4WTR8,Headphone,3
ORG00RBF98YMQC0Z4V466FT9C1JQ0,MobileScreenGuard,2
ORG16BF783GRPC2MF644QNYTB9ZYS,MobileScreenGuard,2
ORGBQ977D4J5VQQ2ZWVBEVE9D6KVK,Solderingironkit,5
ORGFNPJ8LZKNJQ2CZYFMSYQM9BS70,OTGPendrive,1
ORGFQBBBXFGKCCSZ474EJBG2ZQW9H,MobileSpeaker,1
ORGKMH6P8TDC2Q2RZ3X9D7CT72R4Z,Mobile,4
ORGX8CDT029KPCL3GTBCEBEXR5ZDN,MobileCharger,2
ORGZMS0YR8VSS8TTF1PGTVHCX76T7,Headphone,3
ORG1N35C6Y1XMQRXG1NW75018X003,MobileBodyPanel,0
ORG6MKTL6E2T285M4RWHLYHP94ZF5,ComputerKeyboard,1
ORGBBWVM9YH22CLY4QX2H4LME4B1L,Smartphone,5
ORGEB64KQ8LG5CQD4NHRF3Q4HQVYN,Smartphone,2
ORGF2C571FVHS8T0G4QBSGTC44HY1,Mobile,0
ORGF8ND619J3B8E9GJXC43ZKYP7WV,CoolingPad,3
ORGM3XSHMWQHFDB1GL15M45V2V6R0,MobileCable,5
ORGX96VJS2DV2C65ZN41CV55HTW74,Mobile,0
ORGXFW3VE5K62CZG42ZH9TQXWNJBR,Headphone,2
ORGZF9EZWKTC2DRPGH7ZG6HE8L0H7,Headphone,3
ORG0EGTW0XGFPDKGFNRYR8QED7LSE,MobileStandAndHolder,3
ORG1EY5YKHBDNQWW4EXSBGJFHSZRR,MobileScreenGuard,5
ORG2DK9RPD58XDLWGNVWNGT8BQZZ2,Headphone,0
ORG4Q4018G05SQ0RFKCHP3S6WKLL8,Webcam,3
ORGBFM9VKN7EFCX5FZ984TJVH78H6,Mobilereparingtool,1
